id;user_id;username;email;firstname;lastname;age;job;gender;address;earned_points;status
1;27313;simplistic enchanting without;Elliott.Champlin@gmail.com;disposal;dance by but;27985;aha terminate;geez bankruptcy pro;pink particular;16004;12777
2;13242;size;Rodrigo_Howe@yahoo.com;accidentally always blah;who;117;against but quiet;winnow;hm;11364;4791
3;403;beside incidentally;Jamal50@yahoo.com;but worth because;psst;17944;dunt stot;violently phew woot;savor perfect quintuple;20244;25132
4;15721;er grumble;Abraham11@hotmail.com;restrict knowledgeably;blah subprime;3200;poignance furnish;likewise gee;deposit playfully;32324;13448
5;12030;parallel;Justine_Bailey20@hotmail.com;or for reproachfully;subset;30961;blah but;drat;glider incidentally;23359;16649
6;23586;combat oof;Ocie6@yahoo.com;plumb dash;scarily ritualize whose;2131;frantically subroutine meh;over;amongst orange instead;11620;17909
7;23093;depress towards;Reyes_Mante@hotmail.com;bellows preface expense;wrathful supposing;15109;hmph;playfully crayon transform;aw writhe disapprove;30458;20868
8;12714;boo lest because;Alva_Balistreri84@yahoo.com;noisily pitiful;shell;24246;patronize because even;gee woozy instead;yet yet;6279;16471
9;10597;incomparable;Rubye99@yahoo.com;mostly swiftly times;prime;28861;well-informed yowza ringworm;nor so gabble;experimentation now;18974;5252
10;8006;macaroon cribbage;Justice_Block-Turcotte53@yahoo.com;yahoo gently;jovially oof plagiarize;5293;gadzooks;uh-huh;round;16615;25479
